,scientific_name,red_list_category,assessment_date,population_trend,systems,region,habitat,phylum_name,class_name,country_state,animal_name,latitude,longitude
8440,Gazella marica,Vulnerable,2016,Decreasing,Terrestrial,Palearctic,Global,Vertebrates,Mammals,,,,
8441,Eudorcas tilonura,Endangered,2016,Decreasing,Terrestrial,Afrotropical,Global,Vertebrates,Mammals,,,,
8442,Kobus leche,Near Threatened,2016,Decreasing,Terrestrial,Afrotropical,Global,Vertebrates,Mammals,Southern Africa,"Lechwe, red",,
8443,Kobus megaceros,Endangered,2016,Decreasing,Terrestrial,Afrotropical,Global,Vertebrates,Mammals,,,,
8444,Kobus vardonii,Near Threatened,2016,Decreasing,Terrestial & Freshwater ,Afrotropical,Global,Vertebrates,Mammals,,,,
8445,Litocranius walleri,Near Threatened,2016,Decreasing,Terrestrial,Afrotropical,Global,Vertebrates,Mammals,,,,
8446,Oryx beisa,Endangered,2018,Decreasing,Terrestrial,Afrotropical,Global,Vertebrates,Mammals,,,,
8447,Pantholops hodgsonii,Near Threatened,2016,Increasing,Terrestrial,Palearctic,Global,Vertebrates,Mammals,"China, India, Nepal",antelope Tibetan,,
8448,Pelea capreolus,Near Threatened,2016,Decreasing,Terrestrial,Afrotropical,Global,Vertebrates,Mammals,,,,
8449,Procapra przewalskii,Endangered,2016,Increasing,Terrestrial,Palearctic,Global,Vertebrates,Mammals,,,,
8450,Redunca fulvorufula,Endangered,2016,Decreasing,Terrestrial,Afrotropical,Global,Vertebrates,Mammals,,,,
8451,Syncerus caffer,Near Threatened,2018,Decreasing,Terrestrial,Afrotropical,Global,Vertebrates,Mammals,,,,
8452,Tetracerus quadricornis,Vulnerable,2016,Decreasing,Terrestrial,Indomalayan,Global,Vertebrates,Mammals,,,,
8453,Tragelaphus derbianus,Vulnerable,2016,Decreasing,Terrestrial,Afrotropical,Global,Vertebrates,Mammals,,,,
8454,Nanger soemmerringii,Vulnerable,2016,Decreasing,Terrestrial,Afrotropical,Global,Vertebrates,Mammals,,,,
8455,Balaenoptera bonaerensis,Near Threatened,2018,Unknown,Marine,Afrotropical|Antarctic|Australasian|Neotropical|Oceanian|Palearctic,Global,Vertebrates,Mammals,,,,
8456,Cephalorhynchus eutropia,Near Threatened,2017,Decreasing,Freshwater & Marine,Neotropical,Global,Vertebrates,Mammals,,,,
8457,Cephalorhynchus heavisidii,Near Threatened,2017,Unknown,Marine,Afrotropical,Global,Vertebrates,Mammals,,,,
8458,Hyperoodon ampullatus,Near Threatened,2020,Unknown,Marine,Nearctic|Palearctic,Global,Vertebrates,Mammals,,,,
8459,Inia geoffrensis,Endangered,2018,Decreasing,Freshwater,Neotropical,Global,Vertebrates,Mammals,BR,,-14.235004,-51.92528
8460,Lipotes vexillifer,Critically Endangered,2017,Decreasing,Freshwater,Palearctic,Global,Vertebrates,Mammals,China,"Dolphin, Chinese River",,
8461,Mesoplodon stejnegeri,Near Threatened,2020,Decreasing,Marine,Nearctic|Palearctic,Global,Vertebrates,Mammals,,,,
8462,Phocoena spinipinnis,Near Threatened,2018,Unknown,Marine,Neotropical,Global,Vertebrates,Mammals,,,,
