,scientific_name,red_list_category,year_published,assessment_date,population_trend,systems,region,habitat,phylum_name,class_name
77,Sphaerium solidum,Near Threatened,2011,2010-01-28 00:00:00 UTC,Decreasing,Freshwater,Palearctic,Europe,Mollusks,Molluscs
78,Sphaerium solidum,Near Threatened,2011,2010-01-28 00:00:00 UTC,Decreasing,Freshwater,Palearctic,Europe,Mollusks,Molluscs
79,Euryoryzomys lamia,Vulnerable,2018,2017-02-28 00:00:00 UTC,Decreasing,Terrestrial,Neotropical,Global,Vertebrates,Mammals
80,Tarraconia rolani,Endangered,2012,2007-11-01 00:00:00 UTC,Unknown,Freshwater,Palearctic,"Global, Europe & Mediterranean",Mollusks,Snails & slugs
81,Theba macandrewiana,Near Threatened,2017,2016-12-06 00:00:00 UTC,Stable,Terrestrial,Palearctic,Global & Europe,Mollusks,Snails & slugs
82,Vipera renardi,Near Threatened,2021,2016-04-05 00:00:00 UTC,Decreasing,Terrestrial,Palearctic,Global,Vertebrates,Reptiles
83,Vipera renardi,Near Threatened,2021,2016-04-05 00:00:00 UTC,Decreasing,Terrestrial,Palearctic,Global,Vertebrates,Reptiles
84,Vipera renardi,Vulnerable,2009,2009-03-27 00:00:00 UTC,Decreasing,Terrestrial,Palearctic,Europe,Vertebrates,Reptiles
85,Vipera renardi,Vulnerable,2009,2009-03-27 00:00:00 UTC,Decreasing,Terrestrial,Palearctic,Europe,Vertebrates,Reptiles
86,Palaemonetes antrorum,Endangered,2013,2012-07-09 00:00:00 UTC,Unknown,Freshwater,Nearctic,Global,Invertebrates,Crustaceans
87,Palaemonetes cummingi,Critically Endangered,2013,2012-07-10 00:00:00 UTC,Unknown,Freshwater,Nearctic,Global,Invertebrates,Crustaceans
88,Palaemonias alabamae,Endangered,2013,2012-07-09 00:00:00 UTC,Unknown,Freshwater,Nearctic,Global,Invertebrates,Crustaceans
89,Palaemonias ganteri,Vulnerable,2013,2012-07-09 00:00:00 UTC,Unknown,Freshwater,Nearctic,Global,Invertebrates,Crustaceans
90,Palaina dimorpha,Near Threatened,2012,2011-08-22 00:00:00 UTC,Unknown,Terrestrial,Oceanian,Global,Mollusks,Snails & slugs
91,Palaina moussoni,Critically Endangered,2012,2011-08-22 00:00:00 UTC,Unknown,Terrestrial,Oceanian,Global,Mollusks,Snails & slugs
92,Palaina striolata,Critically Endangered,2012,2011-08-22 00:00:00 UTC,Unknown,Terrestrial,Oceanian,Global,Mollusks,Snails & slugs
93,Palaina wilsoni,Endangered,2012,2011-08-22 00:00:00 UTC,Unknown,Terrestrial,Oceanian,Global,Mollusks,Snails & slugs
94,Palea steindachneri,Critically Endangered,2021,2018-03-12 00:00:00 UTC,Decreasing,Terrestial & Freshwater ,Indomalayan,Global,Vertebrates,Reptiles
95,Pseudobatos percellens,Endangered,2020,2020-07-05 00:00:00 UTC,Decreasing,Marine,,Global,Vertebrates,Cartilaginous fishes
96,Carcharhinus acronotus,Endangered,2021,2019-07-01 00:00:00 UTC,Decreasing,Marine,,Global,Vertebrates,Cartilaginous fishes
97,Somniosus pacificus,Near Threatened,2021,2019-08-29 00:00:00 UTC,Decreasing,Marine,,Global,Vertebrates,Cartilaginous fishes
98,Myliobatis goodei,Vulnerable,2020,2019-06-21 00:00:00 UTC,Decreasing,Marine,,Global,Vertebrates,Cartilaginous fishes
99,Mustelus norrisi,Near Threatened,2021,2019-06-21 00:00:00 UTC,Decreasing,Marine,,Global,Vertebrates,Cartilaginous fishes
