,scientific_name,red_list_category,year_published,assessment_date,population_trend,systems,region,habitat,phylum_name,class_name
137,Palaemonias alabamae,Endangered,2013,2012-07-09 00:00:00 UTC,Unknown,Freshwater (=Inland waters),Nearctic,Global,ARTHROPODA,MALACOSTRACA
138,Palaemonias ganteri,Vulnerable,2013,2012-07-09 00:00:00 UTC,Unknown,Freshwater (=Inland waters),Nearctic,Global,ARTHROPODA,MALACOSTRACA
139,Palaina dimorpha,Near Threatened,2012,2011-08-22 00:00:00 UTC,Unknown,Terrestrial,Oceanian,Global,MOLLUSCA,GASTROPODA
140,Palaina moussoni,Critically Endangered,2012,2011-08-22 00:00:00 UTC,Unknown,Terrestrial,Oceanian,Global,MOLLUSCA,GASTROPODA
141,Palaina striolata,Critically Endangered,2012,2011-08-22 00:00:00 UTC,Unknown,Terrestrial,Oceanian,Global,MOLLUSCA,GASTROPODA
142,Palaina wilsoni,Endangered,2012,2011-08-22 00:00:00 UTC,Unknown,Terrestrial,Oceanian,Global,MOLLUSCA,GASTROPODA
143,Palea steindachneri,Critically Endangered,2021,2018-03-12 00:00:00 UTC,Decreasing,Terrestrial|Freshwater (=Inland waters),Indomalayan,Global,CHORDATA,REPTILIA
146,Pseudobatos percellens,Endangered,2020,2020-07-05 00:00:00 UTC,Decreasing,Marine,,Global,CHORDATA,CHONDRICHTHYES
147,Carcharhinus acronotus,Endangered,2021,2019-07-01 00:00:00 UTC,Decreasing,Marine,,Global,CHORDATA,CHONDRICHTHYES
148,Somniosus pacificus,Near Threatened,2021,2019-08-29 00:00:00 UTC,Decreasing,Marine,,Global,CHORDATA,CHONDRICHTHYES
149,Myliobatis goodei,Vulnerable,2020,2019-06-21 00:00:00 UTC,Decreasing,Marine,,Global,CHORDATA,CHONDRICHTHYES
150,Mustelus norrisi,Near Threatened,2021,2019-06-21 00:00:00 UTC,Decreasing,Marine,,Global,CHORDATA,CHONDRICHTHYES
151,Carcharhinus isodon,Near Threatened,2021,2019-07-01 00:00:00 UTC,Stable,Marine,,Global,CHORDATA,CHONDRICHTHYES
152,Carcharhinus altimus,Near Threatened,2020,2020-02-14 00:00:00 UTC,Decreasing,Marine,,Global,CHORDATA,CHONDRICHTHYES
153,Alopias superciliosus,Vulnerable,2019,2018-11-06 00:00:00 UTC,Decreasing,Marine,,Global,CHORDATA,CHONDRICHTHYES
154,Alopias superciliosus,Vulnerable,2019,2018-11-06 00:00:00 UTC,Decreasing,Marine,,Global,CHORDATA,CHONDRICHTHYES
155,Alopias superciliosus,Vulnerable,2019,2018-11-06 00:00:00 UTC,Decreasing,Marine,,Global,CHORDATA,CHONDRICHTHYES
156,Alopias superciliosus,Endangered,2016,2016-03-25 00:00:00 UTC,Decreasing,Marine,Palearctic,Mediterranean,CHORDATA,CHONDRICHTHYES
157,Alopias superciliosus,Endangered,2016,2016-03-25 00:00:00 UTC,Decreasing,Marine,Palearctic,Mediterranean,CHORDATA,CHONDRICHTHYES
158,Alopias superciliosus,Endangered,2016,2016-03-25 00:00:00 UTC,Decreasing,Marine,Palearctic,Mediterranean,CHORDATA,CHONDRICHTHYES
159,Alopias superciliosus,Endangered,2015,2014-12-09 00:00:00 UTC,Decreasing,Marine,Palearctic,Europe,CHORDATA,CHONDRICHTHYES
160,Alopias superciliosus,Endangered,2015,2014-12-09 00:00:00 UTC,Decreasing,Marine,Palearctic,Europe,CHORDATA,CHONDRICHTHYES
161,Alopias superciliosus,Endangered,2015,2014-12-09 00:00:00 UTC,Decreasing,Marine,Palearctic,Europe,CHORDATA,CHONDRICHTHYES
162,Pseudobatos lentiginosus,Vulnerable,2020,2019-06-23 00:00:00 UTC,Decreasing,Marine,,Global,CHORDATA,CHONDRICHTHYES
163,Sepia apama,Near Threatened,2012,2009-03-11 00:00:00 UTC,Decreasing,Marine,Australasian,Global,MOLLUSCA,CEPHALOPODA
164,Partula guamensis,Critically Endangered,2012,2011-08-24 00:00:00 UTC,Unknown,Terrestrial,Oceanian,Global,MOLLUSCA,GASTROPODA
165,Opisthoteuthis mero,Endangered,2014,2014-08-20 00:00:00 UTC,Decreasing,Marine,Australasian,Global,MOLLUSCA,CEPHALOPODA
166,Opisthoteuthis massyae,Vulnerable,2014,2014-08-20 00:00:00 UTC,Decreasing,Marine,Afrotropical|Palearctic,Global,MOLLUSCA,CEPHALOPODA
167,Cirroctopus hochbergi,Endangered,2014,2014-08-20 00:00:00 UTC,Decreasing,Marine,Australasian,Global,MOLLUSCA,CEPHALOPODA
168,Octopus kaharoa,Near Threatened,2019,2016-05-04 00:00:00 UTC,Decreasing,Marine,Australasian,Global,MOLLUSCA,CEPHALOPODA
